Gender,Customer,Age,Distance,Wifi,DepartureAndArrivalTimeConvenient,EaseOnlineBooking,GateLocation,FoodDrink,OnlineBoarding,SeatComfort,InflightEntertainment,OnboardService,LegRoom,BaggageHandling,Checkin,InflightService,Cleanliness,DepartureDelayMin,ArrivalDelayMin,Satisfaction
Female,Loyal Customer,45,545,2,5,2,2,4,1,1,2,2,2,4,4,2,3,14,20.0,neutral or dissatisfied
Male,Loyal Customer,46,1838,1,5,1,3,5,1,5,5,3,2,5,4,5,5,0,0.0,neutral or dissatisfied
Male,Loyal Customer,41,641,5,1,1,1,5,5,5,5,3,4,3,5,5,5,0,0.0,satisfied
Female,disloyal Customer,37,373,4,4,4,4,3,4,3,3,4,4,1,1,1,3,0,0.0,neutral or dissatisfied
Female,Loyal Customer,30,814,5,5,5,5,5,5,5,5,3,2,1,2,3,5,0,0.0,satisfied
Male,Loyal Customer,50,282,0,4,0,5,4,0,3,4,4,4,4,3,4,4,18,10.0,satisfied
Male,Loyal Customer,23,361,2,4,3,2,3,3,3,3,5,5,4,4,5,3,0,0.0,neutral or dissatisfied
Male,Loyal Customer,51,927,1,4,1,3,2,1,5,2,3,5,4,4,4,2,0,0.0,neutral or dissatisfied
Female,Loyal Customer,68,936,3,4,3,1,4,4,5,5,5,3,5,4,5,4,0,0.0,neutral or dissatisfied
Female,Loyal Customer,18,641,3,4,3,1,4,3,1,4,2,1,1,2,4,4,13,1.0,neutral or dissatisfied
Female,Loyal Customer,43,189,1,2,2,2,4,3,3,1,1,1,1,4,1,2,13,11.0,neutral or dissatisfied
Male,Loyal Customer,54,789,1,4,1,3,1,1,1,1,4,3,5,5,5,1,0,0.0,neutral or dissatisfied
Female,disloyal Customer,27,1192,1,1,1,4,1,1,1,1,1,4,4,4,4,1,0,32.0,neutral or dissatisfied
Male,Loyal Customer,31,789,2,4,4,4,2,1,2,2,1,4,4,3,4,2,0,0.0,neutral or dissatisfied
Female,Loyal Customer,22,937,2,5,3,2,1,3,1,1,1,4,4,4,3,1,0,0.0,neutral or dissatisfied
Female,disloyal Customer,25,853,1,1,1,4,4,1,4,4,3,2,4,3,3,4,0,0.0,neutral or dissatisfied
Male,Loyal Customer,60,1464,3,2,2,2,3,3,3,3,4,3,4,4,4,3,0,3.0,neutral or dissatisfied
Female,Loyal Customer,32,859,0,0,0,3,3,0,2,3,3,3,4,5,4,3,0,0.0,satisfied
Male,Loyal Customer,30,237,1,1,1,2,4,1,5,4,1,4,3,4,3,4,0,0.0,neutral or dissatisfied
Male,Loyal Customer,53,550,3,4,4,4,3,3,3,3,5,1,3,4,3,3,0,0.0,satisfied
Female,Loyal Customer,67,2475,4,4,4,4,3,3,4,5,5,4,5,4,5,4,0,0.0,neutral or dissatisfied
Male,Loyal Customer,12,1892,4,1,4,2,5,4,5,5,2,3,2,1,2,5,28,45.0,neutral or dissatisfied
Female,Loyal Customer,55,814,3,2,3,4,2,3,3,3,3,3,3,2,3,1,25,19.0,neutral or dissatisfied
Female,Loyal Customer,46,399,2,4,3,2,4,4,5,4,4,3,4,4,4,3,0,0.0,neutral or dissatisfied
Male,Loyal Customer,36,1744,2,1,2,4,1,2,1,1,3,1,2,4,4,1,0,0.0,neutral or dissatisfied
Male,Loyal Customer,38,368,4,3,3,3,2,3,2,2,1,3,4,4,3,2,0,0.0,neutral or dissatisfied
Female,Loyal Customer,24,1208,4,5,5,5,4,4,4,4,2,2,4,1,4,4,1,0.0,satisfied
Male,Loyal Customer,54,594,1,3,2,2,4,2,4,4,5,4,2,4,4,4,0,0.0,neutral or dissatisfied
Female,Loyal Customer,26,143,4,2,4,4,4,4,4,4,1,3,3,3,3,4,12,2.0,satisfied
Male,Loyal Customer,71,991,2,1,1,1,1,2,1,1,2,3,4,4,3,1,3,0.0,neutral or dissatisfied
Male,Loyal Customer,35,543,3,1,3,3,3,3,3,3,2,3,3,4,4,3,48,42.0,neutral or dissatisfied
Male,Loyal Customer,67,129,1,4,1,3,2,1,2,2,3,3,4,2,4,2,0,0.0,neutral or dissatisfied
Male,Loyal Customer,64,179,5,3,4,3,5,5,5,5,3,2,5,5,3,5,0,0.0,satisfied
Male,Loyal Customer,33,2300,2,4,4,4,2,2,2,2,1,4,3,3,4,2,23,46.0,neutral or dissatisfied
Female,Loyal Customer,41,1024,4,2,2,2,3,1,4,4,4,4,4,2,4,4,37,55.0,satisfied
Male,Loyal Customer,29,1066,4,1,1,1,4,4,4,4,4,5,3,4,4,4,129,119.0,neutral or dissatisfied
Male,Loyal Customer,50,89,5,3,3,3,5,5,5,5,3,5,1,2,3,5,0,11.0,satisfied
Male,Loyal Customer,50,721,2,3,2,3,5,2,5,5,2,5,3,4,3,5,26,16.0,neutral or dissatisfied
Female,disloyal Customer,30,765,1,1,1,3,2,1,2,2,2,2,1,3,3,2,0,0.0,neutral or dissatisfied
Male,Loyal Customer,7,1105,4,4,4,1,2,4,2,2,4,2,4,2,2,2,6,0.0,neutral or dissatisfied
Female,Loyal Customer,33,802,4,3,3,3,4,4,4,4,4,3,3,2,4,4,3,7.0,neutral or dissatisfied
Female,Loyal Customer,23,328,3,1,3,2,3,3,3,3,2,1,2,2,3,3,32,28.0,neutral or dissatisfied
Female,disloyal Customer,19,1008,5,0,5,4,1,5,1,1,1,3,2,2,2,1,0,0.0,satisfied
Female,Loyal Customer,44,296,3,2,2,2,5,4,3,2,2,3,2,2,2,2,11,11.0,neutral or dissatisfied
Male,Loyal Customer,18,280,3,4,4,4,3,3,3,3,4,5,4,1,4,3,0,0.0,neutral or dissatisfied
Female,disloyal Customer,27,491,3,3,3,4,1,3,1,1,4,5,3,3,4,1,15,11.0,neutral or dissatisfied
Male,Loyal Customer,54,813,1,1,5,1,1,1,1,1,1,1,3,2,4,1,7,4.0,neutral or dissatisfied
Male,Loyal Customer,60,351,5,4,4,4,5,5,5,5,3,5,5,1,4,5,0,0.0,satisfied
Male,Loyal Customer,30,1044,4,4,4,4,4,4,4,4,2,3,4,1,3,4,15,12.0,neutral or dissatisfied
Female,Loyal Customer,61,762,2,5,5,5,1,3,3,2,2,2,2,4,2,4,0,23.0,neutral or dissatisfied
Female,disloyal Customer,18,304,1,3,0,4,2,0,2,2,4,5,4,1,3,2,44,58.0,neutral or dissatisfied
Female,Loyal Customer,59,86,2,3,2,1,4,2,3,1,1,2,1,3,1,4,0,0.0,neutral or dissatisfied
Female,disloyal Customer,42,184,3,3,3,3,5,3,5,5,1,4,5,4,1,5,0,0.0,neutral or dissatisfied
Female,Loyal Customer,34,1464,0,0,0,3,2,0,2,2,5,5,4,4,5,2,3,14.0,satisfied
Female,Loyal Customer,53,110,2,3,5,3,4,3,3,3,3,2,3,2,3,4,0,0.0,neutral or dissatisfied
Male,Loyal Customer,36,818,2,3,3,3,2,2,2,2,1,1,3,3,3,2,21,37.0,neutral or dissatisfied
Female,Loyal Customer,18,878,0,5,0,4,4,0,4,4,1,2,3,1,2,4,20,20.0,satisfied
Male,Loyal Customer,25,645,3,5,5,5,3,3,2,3,2,5,4,4,3,3,86,82.0,neutral or dissatisfied
Male,Loyal Customer,46,944,5,2,5,2,5,5,5,5,1,1,5,5,5,5,0,0.0,satisfied
Female,Loyal Customer,63,449,5,3,5,3,2,4,4,2,2,5,2,3,2,1,0,0.0,satisfied
Female,Loyal Customer,40,896,2,1,1,1,2,2,2,2,2,5,4,3,3,2,8,10.0,neutral or dissatisfied
Male,Loyal Customer,60,641,3,5,3,1,5,3,5,5,3,2,5,5,5,5,7,0.0,neutral or dissatisfied
Male,Loyal Customer,15,1504,3,3,3,1,2,3,2,2,4,5,1,4,1,2,0,0.0,neutral or dissatisfied
Male,Loyal Customer,40,770,1,5,1,4,4,1,4,4,5,3,4,5,5,4,22,17.0,neutral or dissatisfied
Female,Loyal Customer,12,1208,1,4,1,3,2,1,2,2,2,3,3,3,3,2,1,0.0,neutral or dissatisfied
Male,Loyal Customer,22,2475,2,5,5,5,2,2,4,2,1,3,3,2,4,2,48,77.0,neutral or dissatisfied
Male,Loyal Customer,29,343,4,5,4,2,2,4,2,2,3,4,4,4,4,2,0,0.0,satisfied
Male,Loyal Customer,7,1325,3,5,3,4,2,3,4,2,3,5,4,5,5,2,0,6.0,neutral or dissatisfied
Male,Loyal Customer,29,1400,5,2,2,2,5,5,5,5,4,2,2,5,2,5,0,0.0,satisfied
Male,Loyal Customer,23,907,1,1,1,1,1,1,1,1,1,4,4,2,3,1,3,0.0,neutral or dissatisfied
Male,disloyal Customer,18,817,2,0,2,1,5,2,4,5,2,5,1,2,5,5,0,5.0,neutral or dissatisfied
Male,Loyal Customer,48,227,4,3,3,3,4,4,4,4,2,2,1,3,4,4,0,0.0,satisfied
Male,Loyal Customer,51,1020,2,0,2,3,5,2,1,5,4,3,3,3,5,5,52,30.0,neutral or dissatisfied
Female,Loyal Customer,15,328,2,3,4,1,4,4,4,4,4,5,3,3,5,4,0,0.0,neutral or dissatisfied
Female,Loyal Customer,12,1045,1,4,1,1,1,1,1,1,5,4,4,3,5,1,0,0.0,neutral or dissatisfied
Male,Loyal Customer,65,605,1,5,1,5,5,1,5,5,4,3,4,3,4,5,14,6.0,neutral or dissatisfied
Female,Loyal Customer,63,334,1,3,2,3,5,4,3,1,1,2,4,1,1,2,17,0.0,neutral or dissatisfied
Female,Loyal Customer,30,1047,4,2,2,2,4,4,4,4,4,2,4,1,1,4,0,0.0,satisfied
Male,Loyal Customer,60,151,4,4,4,4,3,4,3,3,5,5,5,4,4,3,19,4.0,neutral or dissatisfied
Male,Loyal Customer,34,315,4,4,4,4,4,4,4,4,5,2,3,1,4,4,0,0.0,satisfied
Male,Loyal Customer,56,775,2,2,2,2,2,2,2,2,4,1,4,4,4,2,4,6.0,neutral or dissatisfied
Male,Loyal Customer,54,674,3,1,1,1,3,3,3,3,2,3,4,2,3,3,9,7.0,neutral or dissatisfied
Female,Loyal Customer,22,321,3,4,3,5,3,3,3,3,4,4,1,5,4,3,63,60.0,neutral or dissatisfied
Female,Loyal Customer,23,1587,2,5,2,4,1,2,1,1,3,40,4,3,5,1,0,0.0,neutral or dissatisfied
Female,Loyal Customer,25,911,4,3,3,3,4,4,3,4,1,1,2,2,4,4,0,19.0,satisfied
Male,Loyal Customer,45,413,2,5,5,5,2,2,2,2,2,3,3,1,4,2,0,0.0,neutral or dissatisfied
Female,Loyal Customer,60,300,5,5,2,5,5,4,1,3,3,5,3,5,3,1,27,22.0,satisfied
Male,Loyal Customer,54,533,2,2,2,2,2,2,2,2,3,3,4,3,3,2,0,3.0,neutral or dissatisfied
Male,Loyal Customer,28,594,2,4,4,4,2,2,2,2,4,1,4,4,4,2,5,87.0,neutral or dissatisfied
Female,Loyal Customer,61,581,1,4,1,3,2,4,5,3,3,1,1,5,3,3,44,48.0,neutral or dissatisfied
Female,Loyal Customer,66,226,5,5,5,1,4,5,4,4,4,5,4,4,4,3,12,5.0,satisfied
Male,Loyal Customer,57,2442,3,1,5,1,3,3,3,2,3,2,4,3,2,3,6,0.0,neutral or dissatisfied
Male,Loyal Customer,66,544,1,3,1,3,1,1,1,3,1,3,2,1,1,1,205,240.0,neutral or dissatisfied
Female,Loyal Customer,35,2588,4,3,3,3,4,4,4,4,5,3,4,2,2,4,0,0.0,satisfied
Female,Loyal Customer,49,266,4,2,2,2,4,3,5,4,4,4,4,3,4,1,8,7.0,satisfied
Female,disloyal Customer,29,201,2,2,2,1,5,2,4,5,5,4,5,3,3,5,0,0.0,neutral or dissatisfied
Male,Loyal Customer,28,164,1,1,1,3,1,1,1,1,1,2,3,4,3,1,0,0.0,neutral or dissatisfied
Female,Loyal Customer,45,534,1,2,2,2,4,3,4,1,1,1,1,1,1,2,0,9.0,neutral or dissatisfied
Female,disloyal Customer,28,190,3,3,3,4,3,1,1,4,5,3,4,1,1,1,142,129.0,neutral or dissatisfied
Male,Loyal Customer,17,414,3,3,4,1,5,4,5,5,1,1,1,3,2,5,4,2.0,neutral or dissatisfied
Female,Loyal Customer,65,997,1,5,2,2,2,4,5,5,5,2,1,5,5,4,7,6.0,neutral or dissatisfied
Female,Loyal Customer,39,460,4,3,3,3,4,4,4,4,2,4,1,4,4,4,0,0.0,satisfied
Male,Loyal Customer,66,954,3,4,2,4,3,2,3,3,3,3,4,4,4,3,0,0.0,neutral or dissatisfied
Male,Loyal Customer,8,266,1,3,1,2,3,1,3,3,3,1,2,1,2,3,0,0.0,neutral or dissatisfied
Female,Loyal Customer,62,1009,2,3,2,4,3,4,1,5,5,2,5,4,5,5,0,0.0,neutral or dissatisfied
Female,disloyal Customer,51,533,3,3,3,3,5,3,5,5,1,5,4,4,4,5,0,0.0,neutral or dissatisfied
Male,Loyal Customer,40,1121,2,4,2,1,5,2,5,5,4,3,4,3,4,5,0,0.0,neutral or dissatisfied
Female,disloyal Customer,25,861,2,2,2,4,3,2,4,3,1,3,4,4,3,3,0,0.0,neutral or dissatisfied
Female,disloyal Customer,27,356,2,2,2,4,5,2,5,5,4,,,,4,5,0,0.0,neutral or dissatisfied
Female,Loyal Customer,48,321,3,3,4,1,4,5,1,3,3,4,3,3,3,2,0,2.0,neutral or dissatisfied
Female,Loyal Customer,38,303,4,1,1,1,4,4,4,4,5,5,5,4,4,4,26,39.0,satisfied
Female,disloyal Customer,26,925,3,3,3,3,1,3,1,1,3,2,4,1,4,1,1,4.0,neutral or dissatisfied
Female,Loyal Customer,36,646,1,1,1,3,1,3,3,1,1,3,4,3,3,3,155,138.0,neutral or dissatisfied
Female,disloyal Customer,39,628,2,2,2,3,4,2,4,4,2,2,3,2,3,4,109,100.0,neutral or dissatisfied
Female,Loyal Customer,67,257,3,2,3,3,4,3,3,4,4,3,4,2,4,2,0,0.0,neutral or dissatisfied
Female,Loyal Customer,60,107,1,5,5,5,1,4,3,1,1,1,1,4,1,2,0,0.0,neutral or dissatisfied
Female,Loyal Customer,11,774,2,5,2,1,4,2,4,4,4,5,5,3,5,4,0,0.0,neutral or dissatisfied
Male,disloyal Customer,32,449,3,3,3,4,4,3,4,4,3,5,3,3,4,4,0,4.0,neutral or dissatisfied
Female,disloyal Customer,26,508,5,5,5,5,4,5,4,4,1,1,4,1,1,4,9,0.0,satisfied
Female,disloyal Customer,54,1007,4,4,4,4,4,4,1,4,4,2,3,1,3,4,0,17.0,neutral or dissatisfied
Female,Loyal Customer,20,862,1,5,1,5,4,1,1,4,2,1,2,2,3,4,15,27.0,neutral or dissatisfied
Male,Loyal Customer,67,223,1,2,4,2,1,1,1,1,2,1,4,1,4,1,33,49.0,neutral or dissatisfied
Male,Loyal Customer,38,536,2,4,2,5,4,2,1,4,4,5,5,3,5,4,47,29.0,neutral or dissatisfied
Female,Loyal Customer,34,846,5,5,5,5,5,5,5,5,2,2,1,3,2,5,107,98.0,satisfied
Male,Loyal Customer,34,534,3,2,3,3,3,3,3,3,4,5,4,1,4,3,120,111.0,neutral or dissatisfied
Female,Loyal Customer,43,583,2,1,2,2,4,3,3,1,1,2,1,3,1,1,14,0.0,neutral or dissatisfied
Male,Loyal Customer,52,874,3,1,3,3,3,3,1,3,4,4,4,2,4,3,0,0.0,neutral or dissatisfied
Male,Loyal Customer,33,1237,4,3,1,3,4,4,4,4,3,4,1,1,4,4,0,0.0,satisfied
Female,Loyal Customer,60,270,2,2,5,1,5,2,1,4,4,5,1,1,4,1,0,21.0,neutral or dissatisfied
Male,Loyal Customer,39,416,5,1,5,3,3,5,4,3,2,1,4,4,4,3,0,0.0,satisfied
Male,Loyal Customer,13,214,2,3,2,3,1,2,1,1,3,4,4,5,4,1,32,18.0,neutral or dissatisfied
Male,Loyal Customer,34,95,0,0,0,3,5,0,1,5,4,4,1,3,3,5,0,0.0,satisfied
Male,Loyal Customer,61,1024,2,5,2,1,4,2,4,4,5,4,2,5,3,4,0,0.0,neutral or dissatisfied
Male,Loyal Customer,69,404,3,5,3,5,2,3,3,2,5,2,4,4,4,2,0,0.0,neutral or dissatisfied
Male,Loyal Customer,39,453,1,0,0,4,4,0,4,4,2,1,3,4,4,4,0,6.0,neutral or dissatisfied
Female,Loyal Customer,7,2254,2,4,2,1,1,2,1,1,5,4,4,3,4,1,29,5.0,neutral or dissatisfied
Female,Loyal Customer,22,1674,5,1,1,1,5,4,5,5,4,3,5,4,1,5,4,0.0,satisfied
Female,Loyal Customer,47,851,1,5,0,1,3,5,5,1,1,0,1,5,1,4,10,0.0,neutral or dissatisfied
Male,Loyal Customer,46,1488,3,4,3,3,1,3,1,1,3,3,5,4,5,1,5,0.0,neutral or dissatisfied
Female,Loyal Customer,8,110,4,3,4,4,3,4,3,3,1,2,2,1,4,3,0,0.0,neutral or dissatisfied
Male,Loyal Customer,30,505,4,3,3,3,4,4,4,4,4,5,3,5,4,4,0,0.0,satisfied
Female,disloyal Customer,35,1134,1,1,1,5,2,1,2,2,1,4,2,3,2,2,1,5.0,neutral or dissatisfied
Female,Loyal Customer,61,328,2,2,2,4,2,3,3,5,5,2,5,2,5,1,8,3.0,neutral or dissatisfied
Male,Loyal Customer,79,430,5,2,2,2,5,5,5,5,4,5,3,5,5,5,0,0.0,satisfied
Female,Loyal Customer,24,788,4,2,1,2,4,4,4,4,5,3,5,3,2,4,0,0.0,satisfied
Female,Loyal Customer,29,641,0,0,0,3,4,0,4,4,4,3,1,4,5,4,0,0.0,satisfied
Male,Loyal Customer,12,1188,1,5,1,1,2,1,2,2,4,5,3,5,4,2,0,2.0,neutral or dissatisfied
Female,Loyal Customer,27,1303,4,5,4,1,2,4,2,2,4,2,4,2,4,2,0,0.0,neutral or dissatisfied
Male,Loyal Customer,32,1028,2,2,2,3,4,2,4,4,2,1,3,2,4,4,69,63.0,neutral or dissatisfied
Female,Loyal Customer,31,639,4,1,4,4,1,4,1,1,2,2,3,3,3,1,0,7.0,neutral or dissatisfied
Female,Loyal Customer,30,1249,5,4,4,4,5,5,5,5,2,1,4,2,1,5,1,0.0,satisfied
Male,Loyal Customer,52,854,2,5,1,3,4,1,4,4,3,3,4,4,5,4,0,0.0,neutral or dissatisfied
Female,Loyal Customer,26,246,4,4,5,4,4,4,3,4,3,3,2,4,2,4,0,0.0,satisfied
Female,Loyal Customer,29,236,3,2,3,3,3,3,5,3,1,2,4,2,3,3,0,0.0,neutral or dissatisfied
Male,disloyal Customer,39,373,2,2,2,1,5,2,5,5,2,2,2,4,2,5,0,0.0,neutral or dissatisfied
Female,Loyal Customer,36,134,4,5,3,3,4,4,4,4,3,4,1,2,2,4,0,0.0,satisfied
Female,Loyal Customer,23,190,5,2,5,4,1,5,1,1,3,4,3,1,4,1,83,90.0,satisfied
Female,Loyal Customer,9,501,1,1,1,4,1,1,1,2,4,3,4,1,2,1,80,133.0,neutral or dissatisfied
Male,Loyal Customer,36,1476,4,5,4,2,4,4,4,4,5,3,3,5,4,4,3,0.0,neutral or dissatisfied
Male,Loyal Customer,65,109,3,5,0,1,1,0,1,1,2,2,3,1,4,1,1,0.0,neutral or dissatisfied
Male,Loyal Customer,21,227,4,4,0,1,3,0,5,3,5,4,4,3,5,3,0,0.0,satisfied
Female,Loyal Customer,11,143,0,2,0,4,3,0,3,3,2,1,3,2,4,3,0,0.0,satisfied
Male,Loyal Customer,15,312,3,4,3,1,4,3,3,4,3,5,5,4,5,4,5,0.0,neutral or dissatisfied
Female,Loyal Customer,33,1027,5,2,2,2,5,5,5,5,5,1,1,2,2,5,0,0.0,satisfied
Female,Loyal Customer,54,408,1,5,1,5,5,5,4,5,5,1,1,4,5,4,0,0.0,neutral or dissatisfied
Male,Loyal Customer,37,845,4,5,4,3,3,4,4,3,3,4,5,4,4,3,0,0.0,neutral or dissatisfied
Female,Loyal Customer,35,2677,5,2,5,2,5,5,5,5,3,3,5,1,3,5,0,0.0,satisfied
Female,Loyal Customer,38,305,1,5,1,3,4,1,4,4,5,5,5,1,4,4,105,111.0,neutral or dissatisfied
Male,Loyal Customer,32,925,4,1,1,1,4,4,4,4,5,3,3,3,4,4,8,0.0,satisfied
Female,Loyal Customer,60,545,3,3,5,2,4,1,3,2,2,5,2,2,2,2,37,33.0,neutral or dissatisfied
Female,Loyal Customer,28,1180,2,3,3,3,2,2,2,2,2,5,3,1,4,2,2,0.0,neutral or dissatisfied
Male,Loyal Customer,50,239,3,3,3,2,2,3,2,2,4,3,2,5,2,2,1,6.0,neutral or dissatisfied
Male,Loyal Customer,51,370,3,4,2,3,5,2,5,5,3,1,4,1,5,5,0,0.0,neutral or dissatisfied
Female,Loyal Customer,12,1145,1,1,1,1,1,1,2,1,4,2,3,2,3,1,32,52.0,neutral or dissatisfied
Male,Loyal Customer,40,407,2,1,2,3,1,2,2,1,1,4,4,2,3,1,6,7.0,neutral or dissatisfied
Male,Loyal Customer,61,1050,4,2,2,2,4,4,4,4,4,4,5,5,5,4,0,0.0,satisfied
Female,Loyal Customer,12,2504,1,1,1,4,5,1,5,5,4,1,4,1,4,5,53,47.0,neutral or dissatisfied
Female,Loyal Customer,17,937,3,3,3,4,3,3,3,3,2,4,3,1,3,3,41,55.0,neutral or dissatisfied
Female,Loyal Customer,46,397,4,2,2,2,2,1,4,3,3,4,3,4,3,5,4,0.0,satisfied
Male,Loyal Customer,72,2466,3,1,1,1,3,3,3,2,1,1,2,3,3,3,0,17.0,neutral or dissatisfied
Male,Loyal Customer,58,859,2,3,3,3,2,2,2,2,4,1,3,2,3,2,0,0.0,neutral or dissatisfied
Female,Loyal Customer,55,760,2,5,5,5,4,3,4,2,2,2,2,2,2,4,0,0.0,neutral or dissatisfied
Male,Loyal Customer,30,957,3,5,3,3,2,3,2,2,3,3,5,4,5,2,26,7.0,neutral or dissatisfied
Female,Loyal Customer,49,174,4,3,3,3,4,4,4,4,4,4,4,4,4,2,12,0.0,neutral or dissatisfied
Male,Loyal Customer,58,188,3,3,3,2,5,3,1,5,2,4,1,4,2,5,0,0.0,neutral or dissatisfied
Female,Loyal Customer,35,937,2,5,2,2,2,2,2,2,5,5,4,4,5,2,1,3.0,neutral or dissatisfied
Male,Loyal Customer,60,1399,5,4,5,3,4,5,4,4,1,3,3,1,4,4,0,0.0,satisfied
Male,Loyal Customer,70,932,4,2,4,4,3,4,3,3,1,4,3,4,3,3,18,38.0,neutral or dissatisfied
Male,Loyal Customer,38,337,2,5,2,3,1,2,1,1,5,4,5,5,4,1,0,10.0,neutral or dissatisfied
Female,disloyal Customer,25,867,1,4,2,4,1,2,1,1,2,1,3,3,3,1,0,0.0,neutral or dissatisfied
Male,Loyal Customer,48,813,1,4,4,4,1,1,1,1,1,3,4,2,3,1,0,0.0,neutral or dissatisfied
Female,Loyal Customer,22,882,3,5,5,5,3,3,2,3,2,4,3,4,3,3,42,46.0,neutral or dissatisfied
Female,Loyal Customer,26,153,4,5,4,4,3,4,3,3,4,3,4,4,4,3,0,0.0,satisfied
Male,Loyal Customer,28,447,4,4,4,2,4,4,1,4,5,4,4,4,5,4,2,3.0,neutral or dissatisfied
Male,Loyal Customer,53,1299,2,4,2,4,2,2,2,2,4,4,5,3,4,2,0,0.0,neutral or dissatisfied
Female,Loyal Customer,47,408,4,5,4,3,4,4,5,4,4,4,4,5,4,3,0,0.0,neutral or dissatisfied
Male,Loyal Customer,57,1052,2,5,2,3,2,2,2,2,3,5,5,5,4,2,0,0.0,neutral or dissatisfied
Female,Loyal Customer,38,153,1,2,1,1,3,1,3,3,1,2,2,2,1,3,14,6.0,neutral or dissatisfied
Male,Loyal Customer,46,834,4,5,4,4,1,4,1,1,5,2,5,5,5,1,0,1.0,neutral or dissatisfied
Female,Loyal Customer,32,451,2,5,2,4,4,2,4,4,3,4,3,2,5,4,39,37.0,neutral or dissatisfied
Female,Loyal Customer,69,549,2,5,3,2,4,4,4,5,5,3,5,3,5,3,0,0.0,neutral or dissatisfied
Male,Loyal Customer,42,594,4,5,4,1,2,4,2,2,3,1,3,5,5,2,0,0.0,neutral or dissatisfied
Male,Loyal Customer,36,187,4,2,2,2,4,4,4,4,3,2,3,3,3,4,0,0.0,neutral or dissatisfied
Male,Loyal Customer,66,192,3,5,3,2,2,3,2,2,5,4,5,5,5,2,25,26.0,neutral or dissatisfied
Female,Loyal Customer,45,543,4,1,2,3,5,3,4,2,2,2,2,2,2,2,3,0.0,neutral or dissatisfied
Male,Loyal Customer,48,270,5,3,3,3,5,5,5,5,2,5,5,3,1,5,0,0.0,satisfied
Female,Loyal Customer,80,427,1,3,3,3,3,2,2,1,1,1,1,2,1,2,4,0.0,neutral or dissatisfied
Male,Loyal Customer,37,395,1,4,1,4,4,1,4,4,3,4,4,4,4,4,0,6.0,neutral or dissatisfied
Male,Loyal Customer,48,337,1,4,1,3,3,1,3,3,3,5,4,3,4,3,26,5.0,neutral or dissatisfied
Female,Loyal Customer,56,273,2,4,2,3,3,3,3,4,4,2,4,2,4,2,67,63.0,neutral or dissatisfied
Female,Loyal Customer,31,763,1,5,1,4,1,1,4,1,1,1,5,1,2,1,0,0.0,neutral or dissatisfied
Male,disloyal Customer,38,433,3,3,3,4,4,3,3,4,2,5,4,2,1,4,0,0.0,neutral or dissatisfied
Female,Loyal Customer,59,677,3,5,3,3,4,5,5,1,1,3,1,5,1,5,22,29.0,neutral or dissatisfied
Female,Loyal Customer,41,237,1,4,1,2,2,5,5,4,4,1,4,4,4,5,10,4.0,neutral or dissatisfied
Male,Loyal Customer,7,2611,2,4,2,3,5,2,5,5,4,2,3,1,3,5,0,0.0,neutral or dissatisfied
Male,Loyal Customer,12,2422,3,1,3,2,3,4,4,4,1,1,2,4,1,4,4,0.0,neutral or dissatisfied
